Account;Tweet_Nr;Date_Time;Tweet;;;;;;;;
realDonaldTrump;1229756038469070000;18.02.2020 13:14;"b'....badly tainted and in my opinion should be thrown out. Even Mueller\xe2\x80\x99s statement to Congress that he did not see me to become the FBI Director (again) has been proven false. The whole deal was a total SCAM. If I wasn\xe2\x80\x99t President I\xe2\x80\x99d be suing everyone all over the place...'""";;;;;;;;
realDonaldTrump;1229756032693470000;18.02.2020 13:14;"b'These were Mueller prosecutors and the whole Mueller investigation was illegally set up based on a phony and now fully discredited Fake Dossier lying and forging documents to the FISA Court and many other things. Everything having to do with this fraudulent investigation is...'""";;;;;;;;
realDonaldTrump;1229752040039100000;18.02.2020 12:58;"b'.....would order a new trial I\xe2\x80\x99m not so sure about Judge Jackson I don\xe2\x80\x99t know.\xe2\x80\x9d @Judgenap (Andrew Napolitano) @foxandfriends'""";;;;;;;;
realDonaldTrump;1229752039040780000;18.02.2020 12:58;b'.....existence of these tweets in which you were so harshly negative about the President &amp;;;;;;;;
realDonaldTrump;1229752034460600000;18.02.2020 12:58;b'\xe2\x80\x9cJudge Jackson now has a request for a new trial based on the unambiguous &amp;;;;;;;;
realDonaldTrump;1229616977825730000;18.02.2020 04:01;b'Thank you Clint! https://t.co/MTYAIiilna';;;;;;;;
realDonaldTrump;1229604453822670000;18.02.2020 03:12;"b'Praying for Ryan Newman a great and brave @NASCAR driver! #PrayingForRyan'""";;;;;;;;
realDonaldTrump;1229551222648160000;17.02.2020 23:40;b'....ever. Had to rebuild our military which was totally depleted. Fed Rate UP taxes and regulations WAY DOWN. If Dems won in 2016 the USA would be in big economic (Depression?) &amp;;;;;;;;
realDonaldTrump;1229551220248930000;17.02.2020 23:40;b'Did you hear the latest con job? President Obama is now trying to take credit for the Economic Boom taking place under the Trump Administration. He had the WEAKEST recovery since the Great Depression despite Zero Fed Rate &amp;;;;;;;;
realDonaldTrump;1229519051514350000;17.02.2020 21:32;b'https://t.co/MQWM6Y9c4D';;;;;;;;
realDonaldTrump;1229517316188240000;17.02.2020 21:25;b'Completion of the Daytona 500 on Fox Network now. Enjoy!';;;;;;;;
realDonaldTrump;1229423626438530000;17.02.2020 15:13;"b'\xe2\x80\x9cThey tried to Impeach the President eight times before this last Impeachment trial that we went through. In Arizona people are tired of their obstruction their investigations and their Impeachments. They want them to get to work.\xe2\x80\x9d @SenMcSallyAZ  @foxandfriends  Thanks Martha'""";;;;;;;;
realDonaldTrump;1229409252344810000;17.02.2020 14:16;b'HAPPY PRESIDENT\xe2\x80\x99S DAY!';;;;;;;;
realDonaldTrump;1229204331112600000;17.02.2020 00:42;b'#DAYTONA500 https://t.co/fT8L0EZqXh';;;;;;;;
realDonaldTrump;1229091017732780000;16.02.2020 17:11;b'Last week the Fake News said that a section of our powerful under construction Southern Border Wall \xe2\x80\x9cfell over\xe2\x80\x9d trying to make it sound terrible except the reason was that the concrete foundation was just poured &amp;;;;;;;;
realDonaldTrump;1229064138820930000;16.02.2020 15:25;b'Getting ready to go to the Daytona 500. Will be GREAT!';;;;;;;;
realDonaldTrump;1228811405907950000;15.02.2020 22:40;"b'Thank you to @JackBrewerBSI for your kind words on the great progress we have made on our powerful African-American Agenda. For one lowest unemployment numbers in USA history. Many other great records!  @foxandfriends  @FoxNews'""";;;;;;;;
realDonaldTrump;1228810227321060000;15.02.2020 22:36;b'BIG PROGRESS! https://t.co/DfWA7FRSGQ';;;;;;;;
realDonaldTrump;1228810073171950000;15.02.2020 22:35;"b'Remember will be at Daytona 500 tomorrow!'""";;;;;;;;
realDonaldTrump;1228808910213130000;15.02.2020 22:30;"b'Years ago the Democrats had the money to build the Wall but they didn\xe2\x80\x99t have any idea how to get it done. I am building it bigger and better than ever thought possible! https://t.co/VMioZcRPfj'""";;;;;;;;
realDonaldTrump;1228804504268750000;15.02.2020 22:13;b'Thank you David! https://t.co/yElxOFxqYu';;;;;;;;
realDonaldTrump;1228690354314120000;15.02.2020 14:39;b'IG report on Andrew McCabe: Misled Investigators over roll in news media disclosure...Lacked Candor (Lied) on four separate occasions...Authotized Media Leaks to advance personal interests...IG RECOMMENDED MCCABE\xe2\x80\x99S FIRING. @FoxNews @IngrahamAngle';;;;;;;;
realDonaldTrump;1228666362886750000;15.02.2020 13:04;"b'.....biggest test of his presidency emboldened ready to claim exoneration and take his case of grievance persecution and resentment to the campaign trail.\xe2\x80\x9d Peter Baker  @nytimes  The Greatest Witch Hunt In American History!'""";;;;;;;;
realDonaldTrump;1228666350635290000;15.02.2020 13:04;"b'\xe2\x80\x9cRalph Waldo Emerson seemed to foresee the lesson of the Senate Impeachment Trial of President Trump. \xe2\x80\x98When you strike at the King Emerson famously said \xe2\x80\x9cyou must kill him.\xe2\x80\x99 Mr. Trump\xe2\x80\x99s foes struck at him but did not take him down. A triumphant Mr.Trump emerges from the.....'""";;;;;;;;
realDonaldTrump;1228655829273970000;15.02.2020 12:22;"b'MAKE AMERICA GREAT AGAIN and then KEEP AMERICA GREAT! https://t.co/eV9fZxzxgi'""";;;;;;;;
realDonaldTrump;1228468353486000000;14.02.2020 23:57;b'Nice! https://t.co/5EVJVAPxjL';;;;;;;;
realDonaldTrump;1228463577335550000;14.02.2020 23:38;"b'Great honor I think?  Mark Zuckerberg recently stated that \xe2\x80\x9cDonald J. Trump is Number 1 on Facebook. Number 2 is Prime Minister Modi of India.\xe2\x80\x9d Actually I am going to India in two weeks. Looking forward to it!'""";;;;;;;;
realDonaldTrump;1228449937211390000;14.02.2020 22:44;"b'.@LouieGohmertTX1 is a Fantastic Republican from the Great State of Texas! He fully supports our #MAGA and #KAG Agenda Border WALL Military Vets and your Second Amendment. Louie is my friend and has my Complete and Total Endorsement! https://t.co/7MWH000IbI'""";;;;;;;;
realDonaldTrump;1228449065148570000;14.02.2020 22:40;"b'I look forward to attending the Daytona 500 on Sunday with lots of my great friends from Florida including the France family and @RepMichaelWaltz from #FL6. See you there good luck to everyone! @NASCAR @SenRickScott @marcorubio @GovRonDeSantis https://t.co/e0SUl4GfBm'""";;;;;;;;
realDonaldTrump;1228446619500150000;14.02.2020 22:31;"b'Thank you Arnold very nice. https://t.co/didAAHILFk'""";;;;;;;;
